Symbol,I.HSI,I.HSI,I.HSI,I.HSI
2018-01-31,"32,435.76","32,933.98","32,330.39","32,887.27"
2018-02-01,"32,950.30","33,048.04","32,642.09","32,642.09"
2018-02-02,"32,569.01","32,778.51","32,321.42","32,601.78"
2018-02-03,"32,569.01","32,778.51","32,321.42","32,601.78"
2018-02-04,"32,569.01","32,778.51","32,321.42","32,601.78"
2018-02-05,"31,715.56","32,394.87","31,712.02","32,245.22"
2018-02-06,"31,028.68","31,286.03","30,577.83","30,595.42"
2018-02-07,"31,378.35","31,472.47","30,292.15","30,323.20"
2018-02-08,"30,555.80","30,739.11","30,251.32","30,451.27"
2018-02-09,"29,679.21","29,679.21","29,129.26","29,507.42"
2018-02-10,"29,679.21","29,679.21","29,129.26","29,507.42"
2018-02-11,"29,679.21","29,679.21","29,129.26","29,507.42"
2018-02-12,"29,713.08","29,801.52","29,459.63","29,459.63"
2018-02-13,"29,850.15","30,169.00","29,783.10","29,839.53"
2018-02-14,"30,024.47","30,637.23","29,968.54","30,515.60"
2018-02-15,"30,958.71","31,145.10","30,816.65","31,115.43"
2018-02-16,"30,958.71","31,145.10","30,816.65","31,115.43"
2018-02-17,"30,958.71","31,145.10","30,816.65","31,115.43"
2018-02-18,"30,958.71","31,145.10","30,816.65","31,115.43"
2018-02-19,"30,958.71","31,145.10","30,816.65","31,115.43"
2018-02-20,"31,165.29","31,339.69","30,720.48","30,873.63"
2018-02-21,"31,050.52","31,477.85","30,885.95","31,431.89"
2018-02-22,"31,084.45","31,195.27","30,930.10","30,965.68"
2018-02-23,"31,289.08","31,386.81","31,149.32","31,267.17"
2018-02-24,"31,289.08","31,386.81","31,149.32","31,267.17"
2018-02-25,"31,289.08","31,386.81","31,149.32","31,267.17"
2018-02-26,"31,528.29","31,567.46","31,273.95","31,498.60"
2018-02-27,"31,790.85","31,798.98","31,141.52","31,268.66"
2018-02-28,"31,037.41","31,061.76","30,703.90","30,844.72"
2018-03-01,"30,476.99","31,081.68","30,453.82","31,044.25"
2018-03-02,"30,611.10","30,670.94","30,477.95","30,583.45"
2018-03-03,"30,611.10","30,670.94","30,477.95","30,583.45"
2018-03-04,"30,611.10","30,670.94","30,477.95","30,583.45"
2018-03-05,"30,524.26","30,679.47","29,852.42","29,886.39"
2018-03-06,"30,380.96","30,620.06","30,129.80","30,510.73"
2018-03-07,"30,323.77","30,673.08","30,117.40","30,196.92"
2018-03-08,"30,523.68","30,724.03","30,428.61","30,654.52"
2018-03-09,"30,858.27","30,996.21","30,840.80","30,996.21"
2018-03-10,"30,858.27","30,996.21","30,840.80","30,996.21"
2018-03-11,"30,858.27","30,996.21","30,840.80","30,996.21"
2018-03-12,"31,536.30","31,607.58","31,342.48","31,594.33"
2018-03-13,"31,570.20","31,709.99","31,461.47","31,601.45"
2018-03-14,"31,321.79","31,453.48","31,141.85","31,435.01"
2018-03-15,"31,181.15","31,583.38","31,121.66","31,541.10"
2018-03-16,"31,363.03","31,564.78","31,337.45","31,501.97"
2018-03-17,"31,363.03","31,564.78","31,337.45","31,501.97"
2018-03-18,"31,363.03","31,564.78","31,337.45","31,501.97"
2018-03-19,"31,370.47","31,656.30","31,244.62","31,513.76"
2018-03-20,"31,315.42","31,576.05","31,183.40","31,549.93"
2018-03-21,"31,811.98","31,978.14","31,381.54","31,414.52"
2018-03-22,"31,575.93","31,686.67","31,018.44","31,071.05"
2018-03-23,"29,930.23","30,320.31","29,930.23","30,309.29"
2018-03-24,"29,930.23","30,320.31","29,930.23","30,309.29"
2018-03-25,"29,930.23","30,320.31","29,930.23","30,309.29"
2018-03-26,"30,267.07","30,548.77","29,995.16","30,548.77"
2018-03-27,"30,985.75","30,985.75","30,738.76","30,790.83"
2018-03-28,"30,510.38","30,637.21","30,022.53","30,022.53"
2018-03-29,"30,154.18","30,252.95","29,819.63","30,093.38"
2018-03-30,"30,154.18","30,252.95","29,819.63","30,093.38"
2018-03-31,"30,154.18","30,252.95","29,819.63","30,093.38"
2018-04-01,"30,154.18","30,252.95","29,819.63","30,093.38"
2018-04-02,"30,154.18","30,252.95","29,819.63","30,093.38"
2018-04-03,"29,927.88","30,269.28","29,755.36","30,180.10"
2018-04-04,"30,244.22","30,329.08","29,518.69","29,518.69"
2018-04-05,"30,244.22","30,329.08","29,518.69","29,518.69"
2018-04-06,"29,750.24","29,980.56","29,608.33","29,844.94"
2018-04-07,"29,750.24","29,980.56","29,608.33","29,844.94"
2018-04-08,"29,750.24","29,980.56","29,608.33","29,844.94"
2018-04-09,"30,104.32","30,514.80","29,909.37","30,229.58"
2018-04-10,"30,205.09","30,806.86","30,163.09","30,728.74"
2018-04-11,"30,761.23","31,021.12","30,723.07","30,897.71"
2018-04-12,"31,094.11","31,094.11","30,637.14","30,831.28"
2018-04-13,"31,076.76","31,076.76","30,707.77","30,808.38"
2018-04-14,"31,076.76","31,076.76","30,707.77","30,808.38"
2018-04-15,"31,076.76","31,076.76","30,707.77","30,808.38"
2018-04-16,"30,849.72","30,849.72","30,190.75","30,315.59"
2018-04-17,"30,354.89","30,477.79","30,012.70","30,062.75"
2018-04-18,"30,469.95","30,487.17","29,979.40","30,284.25"
2018-04-19,"30,532.95","30,761.47","30,451.00","30,708.44"
2018-04-20,"30,647.94","30,848.47","30,355.79","30,418.33"
2018-04-21,"30,647.94","30,848.47","30,355.79","30,418.33"
2018-04-22,"30,647.94","30,848.47","30,355.79","30,418.33"
2018-04-23,"30,327.03","30,481.86","30,184.45","30,254.40"
2018-04-24,"30,353.83","30,665.10","30,335.29","30,636.24"
2018-04-25,"30,486.86","30,507.19","30,244.16","30,328.15"
2018-04-26,"30,378.15","30,463.42","29,871.20","30,007.68"
2018-04-27,"30,300.83","30,336.00","30,019.12","30,280.67"
2018-04-28,"30,300.83","30,336.00","30,019.12","30,280.67"
2018-04-29,"30,300.83","30,336.00","30,019.12","30,280.67"
2018-04-30,"30,530.40","30,853.13","30,483.91","30,808.45"
2018-05-01,"30,530.40","30,853.13","30,483.91","30,808.45"
2018-05-02,"30,782.21","30,824.77","30,570.81","30,723.88"
2018-05-03,"30,405.48","30,432.07","30,118.65","30,313.37"
2018-05-04,"30,316.98","30,341.46","29,859.30","29,926.50"
2018-05-05,"30,316.98","30,341.46","29,859.30","29,926.50"
2018-05-06,"30,316.98","30,341.46","29,859.30","29,926.50"
2018-05-07,"30,102.06","30,138.33","29,791.87","29,994.26"
2018-05-08,"30,123.77","30,444.22","30,123.77","30,402.81"
2018-05-09,"30,452.16","30,568.76","30,346.62","30,536.14"
2018-05-10,"30,716.97","30,851.30","30,712.93","30,809.22"
2018-05-11,"31,151.80","31,277.39","31,032.44","31,122.06"
2018-05-12,"31,151.80","31,277.39","31,032.44","31,122.06"
2018-05-13,"31,151.80","31,277.39","31,032.44","31,122.06"
2018-05-14,"31,498.36","31,592.56","31,423.57","31,541.08"
2018-05-15,"31,573.18","31,573.18","31,152.03","31,152.03"
2018-05-16,"31,014.72","31,218.08","30,818.78","31,110.20"
2018-05-17,"31,416.71","31,416.71","30,942.15","30,942.15"
2018-05-18,"31,033.97","31,148.06","30,904.68","31,047.91"
2018-05-19,"31,033.97","31,148.06","30,904.68","31,047.91"
2018-05-20,"31,033.97","31,148.06","30,904.68","31,047.91"
2018-05-21,"31,232.79","31,464.10","31,232.79","31,234.35"
2018-05-22,"31,232.79","31,464.10","31,232.79","31,234.35"
2018-05-23,"31,191.87","31,191.87","30,665.64","30,665.64"
2018-05-24,"30,718.66","30,788.97","30,589.38","30,760.41"
2018-05-25,"30,664.27","30,736.97","30,525.74","30,588.04"
2018-05-26,"30,664.27","30,736.97","30,525.74","30,588.04"
2018-05-27,"30,664.27","30,736.97","30,525.74","30,588.04"
2018-05-28,"30,759.84","30,839.30","30,530.47","30,792.26"
2018-05-29,"30,647.26","30,713.32","30,454.18","30,484.58"
2018-05-30,"30,109.37","30,241.23","29,964.34","30,056.79"
2018-05-31,"30,274.18","30,533.58","30,148.43","30,468.56"
2018-06-01,"30,548.78","30,581.12","30,363.49","30,492.91"
2018-06-02,"30,548.78","30,581.12","30,363.49","30,492.91"
2018-06-03,"30,548.78","30,581.12","30,363.49","30,492.91"
2018-06-04,"30,836.77","31,012.92","30,743.18","30,997.98"
2018-06-05,"31,009.47","31,188.93","30,896.11","31,093.45"
2018-06-06,"31,162.02","31,332.42","31,161.37","31,259.10"
2018-06-07,"31,464.63","31,521.13","31,369.28","31,512.63"
2018-06-08,"31,435.26","31,435.26","30,874.10","30,958.21"
2018-06-09,"31,435.26","31,435.26","30,874.10","30,958.21"
2018-06-10,"31,435.26","31,435.26","30,874.10","30,958.21"
2018-06-11,"31,016.52","31,134.03","30,898.57","31,063.70"
2018-06-12,"31,029.85","31,242.86","30,944.97","31,103.06"
2018-06-13,"30,990.37","31,023.73","30,688.26","30,725.15"
2018-06-14,"30,684.07","30,777.96","30,349.96","30,440.17"
2018-06-15,"30,411.07","30,519.29","30,259.11","30,309.49"
2018-06-16,"30,411.07","30,519.29","30,259.11","30,309.49"
2018-06-17,"30,411.07","30,519.29","30,259.11","30,309.49"
2018-06-18,"30,411.07","30,519.29","30,259.11","30,309.49"
2018-06-19,"29,999.01","30,012.04","29,332.28","29,468.15"
2018-06-20,"29,478.46","29,944.30","29,406.20","29,696.17"
2018-06-21,"29,764.05","29,882.27","29,285.71","29,296.05"
2018-06-22,"29,215.54","29,436.84","29,089.39","29,338.70"
2018-06-23,"29,215.54","29,436.84","29,089.39","29,338.70"
2018-06-24,"29,215.54","29,436.84","29,089.39","29,338.70"
2018-06-25,"29,326.12","29,403.36","28,895.40","28,961.39"
2018-06-26,"28,881.18","29,034.23","28,505.09","28,881.40"
2018-06-27,"28,957.64","28,988.83","28,342.82","28,356.26"
2018-06-28,"28,368.01","28,567.29","28,169.10","28,497.32"
2018-06-29,"28,463.85","28,962.29","28,463.85","28,955.11"
2018-06-30,"28,463.85","28,962.29","28,463.85","28,955.11"
2018-07-01,"28,463.85","28,962.29","28,463.85","28,955.11"
2018-07-02,"28,463.85","28,962.29","28,463.85","28,955.11"
2018-07-03,"28,617.00","28,617.00","27,990.45","28,545.57"
2018-07-04,"28,546.32","28,642.34","28,141.28","28,241.67"
2018-07-05,"28,101.85","28,320.90","27,830.75","28,182.09"
2018-07-06,"28,254.37","28,554.21","27,925.33","28,315.62"
2018-07-07,"28,254.37","28,554.21","27,925.33","28,315.62"
2018-07-08,"28,254.37","28,554.21","27,925.33","28,315.62"
2018-07-09,"28,606.16","28,821.54","28,518.52","28,688.50"
2018-07-10,"28,900.71","28,981.93","28,682.25","28,682.25"
2018-07-11,"28,013.72","28,365.72","28,013.72","28,311.69"
2018-07-12,"28,260.09","28,614.53","28,217.31","28,480.83"
2018-07-13,"28,689.18","28,715.36","28,500.51","28,525.44"
2018-07-14,"28,689.18","28,715.36","28,500.51","28,525.44"
2018-07-15,"28,689.18","28,715.36","28,500.51","28,525.44"
2018-07-16,"28,580.96","28,699.21","28,327.00","28,539.66"
2018-07-17,"28,451.50","28,460.87","28,137.95","28,181.68"
2018-07-18,"28,352.11","28,386.38","28,045.47","28,117.42"
2018-07-19,"28,251.16","28,329.98","27,998.36","28,010.86"
2018-07-20,"28,054.76","28,294.74","27,745.85","28,224.48"
2018-07-21,"28,054.76","28,294.74","27,745.85","28,224.48"
2018-07-22,"28,054.76","28,294.74","27,745.85","28,224.48"
2018-07-23,"28,298.61","28,391.58","28,091.06","28,256.12"
2018-07-24,"28,282.30","28,718.00","28,282.30","28,662.57"
2018-07-25,"28,906.97","28,964.79","28,764.35","28,920.90"
2018-07-26,"29,083.40","29,083.40","28,625.08","28,781.14"
2018-07-27,"28,734.73","28,816.69","28,572.79","28,804.28"
2018-07-28,"28,734.73","28,816.69","28,572.79","28,804.28"
2018-07-29,"28,734.73","28,816.69","28,572.79","28,804.28"
2018-07-30,"28,631.05","28,839.24","28,539.56","28,733.13"
2018-07-31,"28,663.14","28,682.31","28,538.03","28,583.01"
2018-08-01,"28,756.72","28,772.80","28,219.97","28,340.74"
2018-08-02,"28,159.01","28,218.28","27,578.09","27,714.56"
2018-08-03,"27,751.60","27,786.15","27,604.56","27,676.32"
2018-08-04,"27,751.60","27,786.15","27,604.56","27,676.32"
2018-08-05,"27,751.60","27,786.15","27,604.56","27,676.32"
2018-08-06,"27,885.51","28,074.53","27,730.42","27,819.56"
2018-08-07,"27,889.44","28,266.68","27,843.16","28,248.88"
2018-08-08,"28,473.48","28,473.48","28,224.46","28,359.14"
2018-08-09,"28,260.50","28,728.17","28,192.81","28,607.30"
2018-08-10,"28,614.73","28,665.90","28,296.99","28,366.62"
2018-08-11,"28,614.73","28,665.90","28,296.99","28,366.62"
2018-08-12,"28,614.73","28,665.90","28,296.99","28,366.62"
2018-08-13,"27,956.78","28,085.17","27,823.21","27,936.57"
2018-08-14,"27,938.32","27,946.55","27,522.82","27,752.93"
2018-08-15,"27,724.72","27,727.27","27,249.08","27,323.59"
2018-08-16,"26,871.11","27,405.25","26,871.11","27,100.06"
2018-08-17,"27,388.57","27,450.84","27,101.10","27,213.41"
2018-08-18,"27,388.57","27,450.84","27,101.10","27,213.41"
2018-08-19,"27,388.57","27,450.84","27,101.10","27,213.41"
2018-08-20,"27,273.78","27,609.80","27,209.22","27,598.02"
2018-08-21,"27,670.54","27,771.30","27,526.30","27,752.79"
2018-08-22,"27,836.68","27,954.52","27,579.80","27,927.58"
2018-08-23,"28,005.33","28,051.65","27,659.21","27,790.46"
2018-08-24,"27,565.98","27,830.91","27,532.06","27,671.87"
2018-08-25,"27,565.98","27,830.91","27,532.06","27,671.87"
2018-08-26,"27,565.98","27,830.91","27,532.06","27,671.87"
2018-08-27,"28,016.66","28,289.06","27,956.04","28,271.27"
2018-08-28,"28,530.89","28,579.64","28,234.53","28,351.62"
2018-08-29,"28,362.84","28,485.83","28,272.13","28,416.44"
2018-08-30,"28,533.93","28,533.93","28,121.40","28,164.05"
2018-08-31,"27,798.21","27,962.03","27,720.32","27,888.55"
2018-09-01,"27,798.21","27,962.03","27,720.32","27,888.55"
2018-09-02,"27,798.21","27,962.03","27,720.32","27,888.55"
2018-09-03,"27,809.45","27,822.19","27,577.04","27,712.54"
2018-09-04,"27,619.18","27,984.89","27,563.79","27,973.34"
2018-09-05,"27,789.02","27,861.99","27,208.34","27,243.85"
2018-09-06,"27,069.21","27,268.39","26,818.82","26,974.82"
2018-09-07,"26,895.87","27,196.57","26,669.58","26,973.47"
2018-09-08,"26,895.87","27,196.57","26,669.58","26,973.47"
2018-09-09,"26,895.87","27,196.57","26,669.58","26,973.47"
2018-09-10,"26,922.27","26,926.63","26,453.29","26,613.42"
2018-09-11,"26,611.93","26,690.65","26,394.87","26,422.55"
2018-09-12,"26,462.82","26,468.91","26,219.56","26,345.04"
2018-09-13,"26,798.39","27,014.49","26,648.77","27,014.49"
2018-09-14,"27,229.79","27,340.02","27,027.45","27,286.41"
2018-09-15,"27,229.79","27,340.02","27,027.45","27,286.41"
2018-09-16,"27,229.79","27,340.02","27,027.45","27,286.41"
2018-09-17,"27,029.91","27,037.48","26,763.21","26,932.85"
2018-09-18,"26,846.33","27,156.55","26,648.99","27,084.66"
2018-09-19,"27,170.02","27,488.35","27,085.79","27,407.37"
2018-09-20,"27,605.72","27,628.19","27,327.23","27,477.67"
2018-09-21,"27,712.35","27,965.96","27,536.27","27,953.58"
2018-09-22,"27,712.35","27,965.96","27,536.27","27,953.58"
2018-09-23,"27,712.35","27,965.96","27,536.27","27,953.58"
2018-09-24,"27,783.85","27,783.85","27,425.01","27,499.39"
2018-09-25,"27,783.85","27,783.85","27,425.01","27,499.39"
2018-09-26,"27,606.81","28,031.81","27,589.37","27,816.87"
2018-09-27,"27,912.51","27,928.29","27,638.54","27,715.67"
2018-09-28,"27,879.06","27,927.95","27,672.83","27,788.52"
2018-09-29,"27,879.06","27,927.95","27,672.83","27,788.52"
2018-09-30,"27,879.06","27,927.95","27,672.83","27,788.52"
2018-10-01,"27,879.06","27,927.95","27,672.83","27,788.52"
2018-10-02,"27,716.16","27,716.16","27,073.08","27,126.38"
2018-10-03,"26,840.20","27,270.16","26,840.20","27,091.26"
2018-10-04,"27,029.40","27,029.40","26,551.44","26,623.87"
2018-10-05,"26,503.75","26,639.64","26,373.46","26,572.57"
2018-10-06,"26,503.75","26,639.64","26,373.46","26,572.57"
2018-10-07,"26,503.75","26,639.64","26,373.46","26,572.57"
2018-10-08,"26,717.60","26,717.60","26,187.83","26,202.57"
2018-10-09,"26,194.17","26,366.60","26,067.51","26,172.91"
2018-10-10,"26,281.28","26,499.84","26,193.07","26,193.07"
2018-10-11,"25,392.90","25,437.85","25,125.22","25,266.37"
2018-10-12,"25,401.41","25,835.76","25,286.86","25,801.49"
2018-10-13,"25,401.41","25,835.76","25,286.86","25,801.49"
2018-10-14,"25,401.41","25,835.76","25,286.86","25,801.49"
2018-10-15,"25,683.59","25,683.59","25,399.54","25,445.06"
2018-10-16,"25,586.16","25,712.13","25,266.54","25,462.26"
2018-10-17,"25,586.16","25,712.13","25,266.54","25,462.26"
2018-10-18,"25,674.66","25,674.66","25,261.72","25,454.55"
2018-10-19,"25,172.03","25,743.45","25,090.30","25,561.40"
2018-10-20,"25,172.03","25,743.45","25,090.30","25,561.40"
2018-10-21,"25,172.03","25,743.45","25,090.30","25,561.40"
2018-10-22,"25,668.33","26,234.86","25,668.33","26,153.15"
2018-10-23,"26,015.49","26,015.49","25,315.76","25,346.55"
2018-10-24,"25,401.17","25,653.36","25,194.29","25,249.78"
2018-10-25,"24,766.72","24,994.46","24,653.79","24,994.46"
2018-10-26,"25,031.49","25,062.20","24,589.04","24,717.63"
2018-10-27,"25,031.49","25,062.20","24,589.04","24,717.63"
2018-10-28,"25,031.49","25,062.20","24,589.04","24,717.63"
2018-10-29,"24,955.79","24,955.79","24,594.74","24,812.04"
2018-10-30,"24,765.12","24,939.18","24,540.63","24,585.53"
2018-10-31,"24,752.83","24,979.69","24,700.11","24,979.69"
2018-11-01,"25,228.75","25,535.12","25,190.90","25,416.00"
2018-11-02,"25,980.44","26,486.35","25,909.71","26,486.35"
2018-11-03,"25,980.44","26,486.35","25,909.71","26,486.35"
2018-11-04,"25,980.44","26,486.35","25,909.71","26,486.35"
2018-11-05,"26,050.34","26,146.81","25,747.52","25,934.39"
2018-11-06,"26,062.24","26,159.83","25,826.69","26,120.96"
2018-11-07,"26,125.09","26,530.87","25,920.72","26,147.69"
2018-11-08,"26,491.27","26,491.27","26,141.25","26,227.72"
2018-11-09,"25,925.09","25,925.09","25,475.32","25,601.92"
2018-11-10,"25,925.09","25,925.09","25,475.32","25,601.92"
2018-11-11,"25,925.09","25,925.09","25,475.32","25,601.92"
2018-11-12,"25,576.28","25,765.96","25,505.33","25,633.18"
2018-11-13,"25,092.30","25,792.87","25,092.30","25,792.87"
2018-11-14,"25,874.36","25,874.36","25,489.86","25,654.43"
2018-11-15,"25,862.18","26,127.14","25,611.72","26,103.34"
2018-11-16,"26,041.56","26,197.31","25,850.04","26,183.53"
2018-11-17,"26,041.56","26,197.31","25,850.04","26,183.53"
2018-11-18,"26,041.56","26,197.31","25,850.04","26,183.53"
2018-11-19,"26,278.87","26,397.39","26,146.39","26,372.00"
2018-11-20,"26,043.51","26,132.29","25,776.22","25,840.34"
2018-11-21,"25,496.85","25,998.28","25,494.51","25,971.47"
2018-11-22,"26,139.39","26,139.39","25,873.38","26,019.41"
2018-11-23,"25,950.07","25,983.25","25,807.26","25,927.68"
2018-11-24,"25,950.07","25,983.25","25,807.26","25,927.68"
2018-11-25,"25,950.07","25,983.25","25,807.26","25,927.68"
2018-11-26,"26,099.35","26,413.76","26,031.90","26,376.18"
2018-11-27,"26,345.37","26,417.84","26,158.97","26,331.96"
2018-11-28,"26,406.68","26,705.30","26,332.66","26,682.56"
2018-11-29,"26,904.21","26,923.33","26,399.81","26,451.03"
2018-11-30,"26,506.09","26,683.25","26,396.62","26,506.75"
2018-12-01,"26,506.09","26,683.25","26,396.62","26,506.75"
2018-12-02,"26,506.09","26,683.25","26,396.62","26,506.75"
2018-12-03,"27,185.66","27,259.43","27,006.83","27,182.04"
2018-12-04,"27,119.19","27,260.44","26,984.71","27,260.44"
2018-12-05,"26,745.69","26,914.87","26,745.69","26,819.68"
2018-12-06,"26,349.42","26,381.12","26,016.09","26,156.38"
2018-12-07,"26,249.81","26,280.66","26,055.78","26,063.76"
2018-12-08,"26,249.81","26,280.66","26,055.78","26,063.76"
2018-12-09,"26,249.81","26,280.66","26,055.78","26,063.76"
2018-12-10,"25,794.95","25,845.34","25,570.89","25,752.38"
2018-12-11,"25,623.40","25,861.73","25,623.40","25,771.67"
2018-12-12,"26,054.01","26,238.73","26,013.36","26,186.71"
2018-12-13,"26,417.89","26,581.93","26,314.77","26,524.35"
2018-12-14,"26,219.00","26,219.00","26,061.47","26,094.79"
2018-12-15,"26,219.00","26,219.00","26,061.47","26,094.79"
2018-12-16,"26,219.00","26,219.00","26,061.47","26,094.79"
2018-12-17,"26,178.04","26,186.30","26,002.30","26,087.98"
2018-12-18,"25,903.98","26,152.88","25,713.50","25,814.25"
2018-12-19,"25,860.68","25,925.99","25,784.09","25,865.39"
2018-12-20,"25,723.53","25,859.82","25,416.88","25,623.53"
2018-12-21,"25,512.30","25,805.61","25,313.75","25,753.42"
2018-12-22,"25,512.30","25,805.61","25,313.75","25,753.42"
2018-12-23,"25,512.30","25,805.61","25,313.75","25,753.42"
2018-12-24,"25,515.40","25,651.38","25,421.43","25,651.38"
2018-12-25,"25,515.40","25,651.38","25,421.43","25,651.38"
2018-12-26,"25,515.40","25,651.38","25,421.43","25,651.38"
2018-12-27,"25,818.81","25,920.63","25,446.80","25,478.88"
2018-12-28,"25,502.34","25,600.25","25,416.36","25,504.20"
2018-12-29,"25,502.34","25,600.25","25,416.36","25,504.20"
2018-12-30,"25,502.34","25,600.25","25,416.36","25,504.20"
2018-12-31,"25,732.52","25,916.23","25,682.66","25,845.70"
2019-01-01,"25,732.52","25,916.23","25,682.66","25,845.70"
2019-01-02,"25,824.44","25,824.44","25,055.27","25,130.35"
2019-01-03,"25,077.68","25,262.21","24,896.87","25,064.36"
2019-01-04,"24,946.12","25,626.03","24,924.73","25,626.03"
2019-01-05,"24,946.12","25,626.03","24,924.73","25,626.03"
2019-01-06,"24,946.12","25,626.03","24,924.73","25,626.03"
2019-01-07,"26,015.84","26,043.64","25,753.46","25,835.70"
2019-01-08,"25,852.50","25,960.89","25,688.50","25,875.45"
2019-01-09,"26,237.29","26,597.07","26,192.65","26,462.32"
2019-01-10,"26,391.78","26,588.21","26,212.34","26,521.43"
2019-01-11,"26,692.02","26,692.02","26,494.86","26,667.27"
2019-01-12,"26,692.02","26,692.02","26,494.86","26,667.27"
2019-01-13,"26,692.02","26,692.02","26,494.86","26,667.27"
2019-01-14,"26,559.68","26,575.33","26,195.78","26,298.33"
2019-01-15,"26,518.62","26,838.55","26,427.45","26,830.29"
2019-01-16,"26,702.93","26,903.78","26,567.52","26,902.10"
2019-01-17,"26,953.21","27,012.19","26,703.31","26,755.63"
2019-01-18,"26,993.44","27,116.65","26,915.08","27,090.81"
2019-01-19,"26,993.44","27,116.65","26,915.08","27,090.81"
2019-01-20,"26,993.44","27,116.65","26,915.08","27,090.81"
2019-01-21,"27,134.27","27,323.61","27,084.30","27,196.54"
2019-01-22,"27,189.40","27,223.70","26,854.66","27,005.45"
2019-01-23,"26,879.91","27,131.22","26,879.91","27,008.20"
2019-01-24,"27,075.37","27,120.98","26,889.79","27,120.98"
2019-01-25,"27,282.88","27,569.19","27,217.75","27,569.19"
2019-01-26,"27,282.88","27,569.19","27,217.75","27,569.19"
2019-01-27,"27,282.88","27,569.19","27,217.75","27,569.19"
2019-01-28,"27,695.81","27,790.22","27,462.37","27,576.96"
2019-01-29,"27,397.54","27,575.37","27,328.17","27,531.68"
2019-01-30,"27,571.41","27,642.85","27,369.75","27,642.85"
2019-01-31,"27,842.05","28,010.90","27,773.98","27,942.47"
2019-02-01,"28,193.28","28,193.28","27,802.50","27,930.74"
2019-02-02,"28,193.28","28,193.28","27,802.50","27,930.74"
2019-02-03,"28,193.28","28,193.28","27,802.50","27,930.74"
2019-02-04,"27,985.42","28,005.15","27,847.43","27,990.21"
2019-02-05,"27,985.42","28,005.15","27,847.43","27,990.21"
2019-02-06,"27,985.42","28,005.15","27,847.43","27,990.21"
2019-02-07,"27,985.42","28,005.15","27,847.43","27,990.21"
2019-02-08,"27,708.13","28,008.82","27,534.20","27,946.32"
2019-02-09,"27,708.13","28,008.82","27,534.20","27,946.32"
2019-02-10,"27,708.13","28,008.82","27,534.20","27,946.32"
2019-02-11,"27,927.45","28,143.84","27,847.85","28,143.84"
2019-02-12,"28,093.31","28,219.59","27,983.48","28,171.33"
2019-02-13,"28,184.87","28,533.36","28,160.46","28,497.59"
2019-02-14,"28,396.40","28,476.65","28,275.18","28,432.05"
2019-02-15,"28,241.44","28,256.69","27,845.87","27,900.84"
2019-02-16,"28,241.44","28,256.69","27,845.87","27,900.84"
2019-02-17,"28,241.44","28,256.69","27,845.87","27,900.84"
2019-02-18,"28,186.75","28,412.08","28,186.75","28,347.01"
2019-02-19,"28,440.49","28,488.97","28,208.87","28,228.13"
2019-02-20,"28,404.68","28,599.77","28,357.30","28,514.05"
2019-02-21,"28,450.00","28,759.35","28,364.85","28,629.92"
2019-02-22,"28,478.96","28,816.30","28,430.20","28,816.30"
2019-02-23,"28,478.96","28,816.30","28,430.20","28,816.30"
2019-02-24,"28,478.96","28,816.30","28,430.20","28,816.30"
2019-02-25,"28,975.52","29,009.98","28,763.46","28,959.30"
