Symbol	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.1	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.2	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.3	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.4	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.6	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.11	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.12	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.16	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.19	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.23	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.66	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.101	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.267	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.293	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.2388	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.5	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.144	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.883	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.941	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.1199	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.17	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.83	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.291	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.762	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088	FJ.HK.1088
2018-01-10	99	99	98	99		79	80	79	79		15	16	15	15		33	34	32	33		67	67	66	67		191	193	191	192		48	48	48	48		134	135	132	133		78	78	77	78		34	34	34	34		46	46	46	46		20	20	20	20		11	12	11	12		13	13	12	13		40	40	40	40		81	82	81	82		21	21	20	20		12	12	12	12		78	78	77	77		8	8	8	8		13	13	12	12		15	15	14	15		30	30	30	30		11	11	11	11		23	23	22	22	
2018-01-11	100	100	99	99		79	79	79	79		15	15	15	15		33	34	32	33		67	67	66	66		190	191	189	191		48	48	47	48		134	134	132	133		78	78	77	77		34	34	34	34		46	46	46	46		20	21	20	21		12	12	11	12		13	13	13	13		39	41	39	41		84	84	84	84		20	21	20	20		12	12	12	12		77	78	77	78		8	8	8	8		12	12	12	12		15	15	14	15		31	31	30	31		11	11	11	11		23	23	22	22	
2018-01-12	100	102	99	101		79	79	79	79		15	15	15	15		33	34	32	32		66	67	66	66		191	192	189	189		48	48	48	48		133	134	133	133		78	78	76	77		34	34	34	34		46	46	46	46		21	21	20	21		12	12	12	12		13	13	13	13		41	42	41	41		84	84	83	84		20	20	20	20		12	13	12	13		78	78	78	78		8	8	8	8		12	12	12	12		14	15	14	14		31	32	30	32		11	11	11	11		23	23	22	23	
2018-01-13	100	102	99	101		79	79	79	79		15	15	15	15		33	34	32	32		66	67	66	66		191	192	189	189		48	48	48	48		133	134	133	133		78	78	76	77		34	34	34	34		46	46	46	46		21	21	20	21		12	12	12	12		13	13	13	13		41	42	41	41		84	84	83	84		20	20	20	20		12	13	12	13		78	78	78	78		8	8	8	8		12	12	12	12		14	15	14	14		31	32	30	32		11	11	11	11		23	23	22	23	
2018-01-14	100	102	99	101		79	79	79	79		15	15	15	15		33	34	32	32		66	67	66	66		191	192	189	189		48	48	48	48		133	134	133	133		78	78	76	77		34	34	34	34		46	46	46	46		21	21	20	21		12	12	12	12		13	13	13	13		41	42	41	41		84	84	83	84		20	20	20	20		12	13	12	13		78	78	78	78		8	8	8	8		12	12	12	12		14	15	14	14		31	32	30	32		11	11	11	11		23	23	22	23	
2018-01-15	102	103	100	101		79	79	79	79		14	14	14	14		33	33	32	32		66	67	66	66		190	191	190	191		48	48	47	47		134	134	132	133		77	77	77	77		34	34	34	34		46	46	45	45		21	21	20	20		12	12	11	12		13	13	13	13		41	42	41	41		85	85	84	84		20	21	20	20		13	13	12	12		78	79	78	79		8	8	8	8		12	12	12	12		14	15	14	14		35	35	32	32		11	11	11	11		22	23	22	22	
2018-01-16	101	101	100	101		79	79	79	79		14	14	14	14		32	33	32	33		66	66	66	66		191	192	189	189		48	48	47	48		132	134	132	134		77	78	76	78		34	34	34	34		45	45	45	45		20	20	20	20		11	12	11	12		13	13	13	13		41	42	41	41		84	85	84	85		21	21	20	21		13	13	12	13		79	79	79	79		8	8	8	8		12	13	12	12		14	14	14	14		32	34	32	32		11	11	11	11		22	22	22	22	
2018-01-17	100	102	100	101		79	79	79	79		14	14	14	14		32	32	31	32		66	66	66	66		191	191	189	191		48	48	47	48		134	134	132	133		77	78	77	78		34	34	34	34		45	45	45	45		20	21	20	21		12	12	12	12		13	13	13	13		41	42	41	41		85	85	85	85		21	21	21	21		12	12	12	12		79	80	79	79		8	8	8	8		12	13	12	13		15	15	14	15		32	32	31	31		11	11	11	11		22	22	22	22	
2018-01-18	101	102	101	101		78	79	78	79		14	14	14	14		32	32	31	31		66	67	66	67		190	191	190	191		48	48	47	48		133	134	132	132		77	78	77	77		34	34	34	34		45	45	45	45		21	21	20	21		12	12	12	12		13	13	13	13		42	42	41	41		86	86	85	85		21	22	21	21		12	12	12	12		79	81	79	81		8	9	8	8		12	13	12	12		15	15	14	15		31	32	31	31		11	11	11	11		22	22	22	22	
2018-01-19	101	101	100	101		79	79	78	78		14	14	14	14		31	32	30	31		66	67	66	67		191	191	189	190		47	48	47	48		132	134	132	133		77	78	77	78		34	34	34	34		45	45	45	45		21	21	20	21		12	12	12	12		13	13	13	13		41	41	41	41		86	86	85	85		21	21	21	21		12	12	12	12		82	82	80	81		8	8	8	8		12	12	12	12		15	15	14	15		31	31	30	31		11	12	11	11		22	23	22	23	
2018-01-20	101	101	100	101		79	79	78	78		14	14	14	14		31	32	30	31		66	67	66	67		191	191	189	190		47	48	47	48		132	134	132	133		77	78	77	78		34	34	34	34		45	45	45	45		21	21	20	21		12	12	12	12		13	13	13	13		41	41	41	41		86	86	85	85		21	21	21	21		12	12	12	12		82	82	80	81		8	8	8	8		12	12	12	12		15	15	14	15		31	31	30	31		11	12	11	11		22	23	22	23	
2018-01-21	101	101	100	101		79	79	78	78		14	14	14	14		31	32	30	31		66	67	66	67		191	191	189	190		47	48	47	48		132	134	132	133		77	78	77	78		34	34	34	34		45	45	45	45		21	21	20	21		12	12	12	12		13	13	13	13		41	41	41	41		86	86	85	85		21	21	21	21		12	12	12	12		82	82	80	81		8	8	8	8		12	12	12	12		15	15	14	15		31	31	30	31		11	12	11	11		22	23	22	23	
2018-01-22	102	103	101	103		79	79	78	78		14	14	14	14		30	31	30	31		67	67	66	67		190	190	188	189		48	48	47	47		134	134	132	133		78	78	78	78		35	35	34	34		45	45	45	45		20	21	20	20		12	12	12	12		13	13	13	13		41	42	41	41		85	85	85	85		21	21	21	21		12	12	12	12		81	82	80	81		8	8	8	8		12	12	12	12		15	15	14	14		31	31	30	31		11	11	11	11		23	23	22	23	
2018-01-23	103	103	102	103		78	79	78	78		14	14	14	14		31	31	31	31		67	67	66	67		189	190	188	188		48	48	47	48		134	135	132	134		78	80	78	79		34	34	34	34		45	45	45	45		20	21	20	21		12	12	12	12		13	13	13	13		41	42	41	42		86	86	85	86		21	21	21	21		12	12	12	12		82	82	81	82		8	8	8	8		12	13	12	13		15	15	14	15		31	32	31	31		11	11	11	11		23	23	23	23	
2018-01-24	103	105	103	105		78	79	78	78		14	14	14	14		31	32	31	32		67	67	66	67		188	188	187	187		48	48	48	48		135	135	133	134		79	80	79	80		34	34	34	34		45	45	45	45		21	21	21	21		12	13	12	13		13	13	13	13		41	42	41	42		86	86	85	86		21	22	21	21		12	13	12	13		82	83	81	83		8	9	8	8		13	13	12	12		15	15	15	15		31	32	31	32		11	11	11	11		23	24	23	24	
2018-01-25	107	107	106	106		78	79	78	79		14	14	14	14		32	32	31	32		67	67	67	67		188	189	187	187		48	48	47	48		135	137	134	136		79	80	78	79		34	35	34	34		45	45	45	45		22	22	21	21		13	13	12	13		13	13	13	13		42	42	42	42		86	86	85	86		21	21	21	21		13	13	13	13		83	84	83	83		8	8	8	8		12	13	12	13		15	15	15	15		32	32	30	31		11	12	11	12		24	24	23	24	
2018-01-26	107	107	106	107		79	79	79	79		14	14	14	14		32	32	31	32		67	67	67	67		187	187	186	186		49	50	48	50		138	139	136	138		80	80	79	80		34	35	34	34		45	45	45	45		21	22	21	22		13	13	12	13		13	13	13	13		41	42	41	42		85	86	85	86		22	22	21	21		13	13	12	13		83	83	82	82		8	8	8	8		13	13	13	13		15	15	15	15		30	31	30	30		12	12	12	12		24	24	23	24	
2018-01-27	107	107	106	107		79	79	79	79		14	14	14	14		32	32	31	32		67	67	67	67		187	187	186	186		49	50	48	50		138	139	136	138		80	80	79	80		34	35	34	34		45	45	45	45		21	22	21	22		13	13	12	13		13	13	13	13		41	42	41	42		85	86	85	86		22	22	21	21		13	13	12	13		83	83	82	82		8	8	8	8		13	13	13	13		15	15	15	15		30	31	30	30		12	12	12	12		24	24	23	24	
2018-01-28	107	107	106	107		79	79	79	79		14	14	14	14		32	32	31	32		67	67	67	67		187	187	186	186		49	50	48	50		138	139	136	138		80	80	79	80		34	35	34	34		45	45	45	45		21	22	21	22		13	13	12	13		13	13	13	13		41	42	41	42		85	86	85	86		22	22	21	21		13	13	12	13		83	83	82	82		8	8	8	8		13	13	13	13		15	15	15	15		30	31	30	30		12	12	12	12		24	24	23	24	
2018-01-29	107	107	105	105		79	79	78	78		14	14	14	14		32	32	32	32		68	68	67	68		188	189	186	187		51	51	49	50		140	140	136	136		80	80	79	79		34	34	34	34		45	45	45	45		22	22	21	21		13	13	13	13		13	13	12	12		42	42	41	41		86	86	85	85		21	22	21	21		13	13	13	13		83	83	83	83		8	8	8	8		13	13	13	13		15	15	15	15		30	31	29	29		12	12	12	12		24	26	24	25	
2018-01-30	105	107	105	105		79	80	79	80		14	14	14	14		32	33	31	32		68	69	68	69		188	189	187	188		49	50	49	50		137	137	135	136		79	79	78	79		34	34	34	34		45	45	45	45		21	21	20	20		13	13	12	12		12	12	12	12		41	41	40	40		85	85	84	84		21	21	21	21		13	13	12	12		83	83	82	82		8	8	8	8		13	13	13	13		15	15	14	14		29	30	29	29		12	12	12	12		25	25	24	24	
2018-01-31	105	106	105	106		80	80	80	80		14	14	14	14		32	33	32	32		69	70	69	70		188	188	186	186		49	50	49	50		135	136	133	136		79	79	78	78		34	34	34	34		45	45	45	45		20	21	20	21		12	12	12	12		12	12	12	12		40	40	40	40		83	85	83	84		21	21	20	21		12	12	12	12		83	83	82	83		8	8	8	8		13	13	12	13		14	15	14	14		29	30	29	30		12	12	12	12		24	25	24	24	
2018-02-01	106	106	105	106		80	80	80	80		14	14	14	14		32	33	32	32		69	69	68	69		186	187	185	185		50	50	49	49		136	137	134	135		78	79	78	79		34	34	33	33		45	45	45	45		21	21	20	20		12	12	12	12		13	13	12	12		40	40	40	40		84	84	83	84		21	21	20	20		12	12	12	12		82	83	82	82		8	8	8	8		13	13	12	12		15	15	15	15		30	30	29	29		12	12	12	12		24	25	24	24	
2018-02-02	106	106	105	105		79	80	79	80		14	14	14	14		32	32	31	32		69	69	68	69		184	185	184	184		49	49	49	49		136	136	133	133		79	79	78	78		33	33	33	33		44	45	44	44		20	21	20	21		12	12	12	12		12	13	12	12		39	40	39	40		84	84	83	84		20	20	19	19		12	13	12	13		82	82	81	81		8	8	8	8		12	13	12	12		15	15	14	15		29	30	29	30		12	12	12	12		25	26	24	26	
2018-02-03	106	106	105	105		79	80	79	80		14	14	14	14		32	32	31	32		69	69	68	69		184	185	184	184		49	49	49	49		136	136	133	133		79	79	78	78		33	33	33	33		44	45	44	44		20	21	20	21		12	12	12	12		12	13	12	12		39	40	39	40		84	84	83	84		20	20	19	19		12	13	12	13		82	82	81	81		8	8	8	8		12	13	12	12		15	15	14	15		29	30	29	30		12	12	12	12		25	26	24	26	
2018-02-04	106	106	105	105		79	80	79	80		14	14	14	14		32	32	31	32		69	69	68	69		184	185	184	184		49	49	49	49		136	136	133	133		79	79	78	78		33	33	33	33		44	45	44	44		20	21	20	21		12	12	12	12		12	13	12	12		39	40	39	40		84	84	83	84		20	20	19	19		12	13	12	13		82	82	81	81		8	8	8	8		12	13	12	12		15	15	14	15		29	30	29	30		12	12	12	12		25	26	24	26	
2018-02-05	104	105	104	104		80	80	79	79		14	14	14	14		31	32	31	31		69	69	68	68		184	184	181	183		48	48	48	48		132	132	130	130		78	78	76	77		33	33	32	33		44	44	44	44		20	21	20	20		12	12	12	12		12	13	12	13		39	39	39	39		82	83	82	83		19	19	19	19		12	12	12	12		80	80	80	80		8	8	8	8		12	12	12	12		15	15	14	14		29	30	29	29		11	12	11	12		25	26	25	25	
2018-02-06	102	103	100	101		78	78	77	78		14	14	14	14		30	31	30	30		66	67	66	66		178	180	177	177		46	47	46	47		126	127	125	126		76	76	74	75		32	32	31	32		43	43	42	43		20	20	19	20		11	12	11	11		12	12	12	12		38	38	38	38		80	81	80	80		19	19	19	19		12	12	12	12		79	79	78	78		8	8	7	8		12	12	12	12		14	14	14	14		29	29	28	28		11	12	11	11		24	24	23	23	
2018-02-07	103	104	101	102		77	78	77	77		14	14	14	14		30	31	28	28		66	66	66	66		178	180	175	175		47	47	46	46		127	128	124	124		75	75	74	74		32	32	31	32		43	43	42	42		20	20	19	19		11	12	11	11		12	12	12	12		38	38	37	37		81	82	80	80		19	19	18	18		12	12	12	12		79	79	77	77		8	8	8	8		12	12	12	12		14	14	14	14		29	30	28	29		11	11	11	11		24	25	23	23	
2018-02-08	103	103	102	102		77	78	77	77		14	14	14	14		28	29	28	28		66	66	66	66		175	181	175	180		46	47	46	46		125	127	124	126		75	76	74	75		32	32	32	32		42	42	42	42		19	20	19	19		11	11	11	11		12	13	12	12		37	38	37	38		80	81	80	81		18	18	18	18		11	12	11	12		77	78	77	77		8	8	8	8		12	12	11	12		14	14	14	14		29	29	29	29		11	11	11	11		23	23	22	23	
2018-02-09	101	101	98	98		76	77	76	76		13	13	13	13		27	28	27	28		66	66	65	65		178	178	176	177		45	45	45	45		124	124	121	123		74	74	73	74		31	32	31	32		41	42	41	41		19	19	18	19		11	11	11	11		12	12	12	12		37	37	37	37		79	80	78	80		18	18	18	18		11	11	11	11		77	77	75	75		8	8	7	7		11	11	11	11		13	14	13	13		28	29	27	28		11	11	10	10		22	22	21	22	
2018-02-10	101	101	98	98		76	77	76	76		13	13	13	13		27	28	27	28		66	66	65	65		178	178	176	177		45	45	45	45		124	124	121	123		74	74	73	74		31	32	31	32		41	42	41	41		19	19	18	19		11	11	11	11		12	12	12	12		37	37	37	37		79	80	78	80		18	18	18	18		11	11	11	11		77	77	75	75		8	8	7	7		11	11	11	11		13	14	13	13		28	29	27	28		11	11	10	10		22	22	21	22	
2018-02-11	101	101	98	98		76	77	76	76		13	13	13	13		27	28	27	28		66	66	65	65		178	178	176	177		45	45	45	45		124	124	121	123		74	74	73	74		31	32	31	32		41	42	41	41		19	19	18	19		11	11	11	11		12	12	12	12		37	37	37	37		79	80	78	80		18	18	18	18		11	11	11	11		77	77	75	75		8	8	7	7		11	11	11	11		13	14	13	13		28	29	27	28		11	11	10	10		22	22	21	22	
2018-02-12	99	99	97	97		76	76	76	76		13	14	13	13		28	29	28	28		65	65	65	65		177	178	176	176		45	45	45	45		123	123	122	122		74	75	73	74		32	32	32	32		41	41	41	41		19	19	18	18		11	11	11	11		12	13	12	13		38	38	37	37		80	80	79	79		18	18	18	18		11	11	11	11		75	75	74	74		7	8	7	7		11	11	11	11		13	13	13	13		29	29	28	29		10	10	10	10		22	22	21	21	
2018-02-13	97	99	97	97		76	76	75	75		13	13	13	13		28	29	28	28		64	65	64	64		176	179	176	178		45	45	45	45		123	124	122	123		74	75	73	74		32	32	31	32		41	41	41	41		18	19	18	19		11	11	11	11		13	13	13	13		37	38	37	37		80	80	80	80		18	18	18	18		11	11	11	11		75	75	73	74		7	7	7	7		11	12	11	11		14	14	13	14		29	30	29	29		10	10	10	10		23	23	21	21	
2018-02-14	97	98	97	98		75	77	75	77		13	13	13	13		28	29	28	29		65	66	64	66		181	192	180	192		45	45	45	45		124	126	123	126		74	75	73	74		32	33	32	32		41	41	41	41		19	19	18	19		11	11	11	11		13	13	13	13		38	39	38	39		80	82	80	82		18	18	18	18		11	11	11	11		73	74	73	74		7	7	7	7		11	12	11	12		14	14	13	14		30	30	29	29		10	10	10	10		21	22	21	22	
2018-02-15	98	99	98	99		77	77	76	76		13	14	13	13		29	29	29	29		66	66	65	66		191	192	188	192		45	46	45	46		126	127	125	126		75	75	74	74		32	33	32	33		41	41	41	41		18	19	18	19		11	11	11	11		13	13	12	13		39	39	39	39		83	84	83	84		18	18	18	18		11	12	11	11		74	75	74	74		7	7	7	7		12	12	11	12		14	14	14	14		30	30	30	30		10	10	10	10		22	23	22	22	
2018-02-16	98	99	98	99		77	77	76	76		13	14	13	13		29	29	29	29		66	66	65	66		191	192	188	192		45	46	45	46		126	127	125	126		75	75	74	74		32	33	32	33		41	41	41	41		18	19	18	19		11	11	11	11		13	13	12	13		39	39	39	39		83	84	83	84		18	18	18	18		11	12	11	11		74	75	74	74		7	7	7	7		12	12	11	12		14	14	14	14		30	30	30	30		10	10	10	10		22	23	22	22	
2018-02-17	98	99	98	99		77	77	76	76		13	14	13	13		29	29	29	29		66	66	65	66		191	192	188	192		45	46	45	46		126	127	125	126		75	75	74	74		32	33	32	33		41	41	41	41		18	19	18	19		11	11	11	11		13	13	12	13		39	39	39	39		83	84	83	84		18	18	18	18		11	12	11	11		74	75	74	74		7	7	7	7		12	12	11	12		14	14	14	14		30	30	30	30		10	10	10	10		22	23	22	22	
